id,time,title,content,info
465,2018-07-25,《傲气雄鹰 年度版》中文版,您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 1ruc-j3dDOI9-wo9m7vklEw 密码: 5588英文名称：Sky Force Anniversary游戏语言：欧洲语言开发厂商：Infinite Dreams Inc.发行厂商：Infinite Dreams Inc.《傲气雄鹰》是波兰著名的独立游戏开发商Infinite Dreams制作的竖版射击游戏，本作是10周年纪念版，既保留了原先《傲气雄鹰》原汁原味的角色设定与画风，又在此基础上对游戏画面进行了全面的3D化，精细的建模以及突出的光影、粒子效果让整个战斗场景都极为震撼。来自：https://www.gamestar.top/thread-3333-1-1.htmljavascript:;赏󰄯 分享,射击类
464,2018-07-25,《黑暗的奥秘 》中文版（含1.05补丁）,您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 1OLMmrPUR16N9udd4JUMJDQ 密码: 74mj这个小游戏有点像迷失之地，玩法也像，但是却是完全不同的游戏。系统设简体密码：gz死神bleach英文名称：Dark Mystery游戏语言：英文开发厂商：Yash Future Tech Solutions Pvt Ltd发行厂商：Yash Future Tech Solutions Pvt Ltd发售日期：2017-08-15《黑暗的奥秘》是一款非常有趣的横版动作类游戏。游戏中玩家将操控一个黑色小球进行游戏。玩家将要躲避场地中的各种陷阱，闯过35个大型关卡来观看结局。来自：https://www.91wii.com/thread-93550-1-1.htmljavascript:;赏󰄯 分享,动作类
463,2018-07-25,《DEXED VR》中文版（含1.02补丁）,您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 1XLnfTkkbp-KSvpwtTvOHNg 密码: bgun密码：gz死神bleach系统设简体英文名称：DEXED游戏语言：欧洲语言开发厂商：Ninja Theory发行厂商：Ninja Theory发售日期：2017-02-01本游戏为VR游戏，需结合VR设备进行游戏。玩家们戴上VR设备后，便进入海洋、火山、天空等多种世界中，两个VR控制器也变成冰火两种状态，眼前则不断出现各种奇幻生物，玩家需要做的便是使用冰火控制器给相应的生物进行标记，然后释放魔法消灭它们。说到底，这其实是一个射击类游戏，绚丽的VR玩法则是它的突出卖点。来自：https://www.91wii.com/thread-93480-1-1.htmljavascript:;赏󰄯 分享,射击类
462,2018-07-25,《揭秘计划 VR》中文版（含1.01补丁）,好多人说我不发VR，好吧，今天发两个，也就两个。之后还是不发。篇章延长到25篇。中文，含1.01中文补丁，系统设简体。 密码：gz死神bleach。您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 1__X_dSr0rir8R81uQSvWuQ 密码: j9fb英文名称：Unearthing Mars游戏原名：アンアーシング・マーズ游戏语言：中文(非国行)开发厂商：唯晶科技发行厂商：SIE发售日期：2017-01-19游戏类型：冒险类《揭秘计划》并非一部人们传统印象里的「火星游戏」，而是一部会让玩家惊见火星古文明、并得以探索火星未知一面的奇幻作品。游戏中将可看见绚丽多变的场景，无论是黄沙漫天的沙漠，还是如梦似幻的古文明都市，团队希望可以营造一种异星的奇幻感。在游戏中玩家将有驾驶登陆艇、探测车的机会，当然也有亲自行走火星地表和探险火星洞穴的桥段。来自：https://www.91wii.com/thread-93449-1-1.htmljavascript:;赏󰄯 分享,其他类型
461,2018-07-25,《矮人 The Dwarves》中文版,您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 1K_JFhPAib6rbZEhP2IBIww 密码: rzr7整合1.06中文补丁，系统选简体。密码：gz死神bleach英文名称：The Dwarves游戏语言：欧洲语言开发厂商：KING Art Games发行厂商：Nordic Games Publishing发售日期：2016-12-01玩家将在游戏中扮演一个叫Tungdil的矮人，他从小与人类一起生活长大。在整个故事中，Tungdil需要召唤12个同伴。在每场战斗开始前，玩家最多可以选择4名英雄，之后你将一次面临数百敌人的围攻。来自：https://www.91wii.com/thread-93378-1-1.htmljavascript:;赏󰄯 分享,角色扮演
460,2018-07-23,《狙击手 幽灵战士3》美版 中文版（v1.09）,您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 1B_vs-zQmSiFV-cV3Ekihbg 密码: pnws目前全网为英文/伪中文版。自DUMP美版带1.09中文补丁 54G 真中文版，认准54G，系统设简体。这是除了FF15皇家版以外，我看到过第二大容量的“巨作”。解压密码：gz死神bleach英文名称：Sniper - Ghost Warrior 3游戏原名：スナイパー ゴーストウォリアー3游戏语言：英文开发厂商：City Interactive发行厂商：City Interactive发售日期：2017-04-25本作将聚焦于现代战争环境下的东欧冲突格局中，超大的地图、高自由度和非线性的沙盒式玩法将会是本作的特点。来自：https://www.91wii.com/thread-93237-1-1.htmljavascript:;赏󰄯 分享,射击类
459,2018-07-23,《逃生2》港版 中文版（v1.05）,您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 1XCdpqq5QbDJ8jCCTKvxlLg 密码: nhfv今天晚了点，有事忙。之前全网资源为英文。本次自DUMP港版，已整合1.05中文补丁。实在太有名不用上图了。系统设简体。解压密码：gz死神bleach英文名称：Outlast II / Outlast 2游戏语言：中文开发厂商：Red Barrels发行厂商：Red Barrels本作将采用全新的角色，全新的设定。任何矛盾冲突都不是黑白之间玄乎不定的，但是，一旦尘埃落定胜利者将书写正义与正确，反之失败者则是邪恶与错误的。人类的本性让我们产生暴力与堕落，这些都将通过《逃生2》改写，玩家将在神启示与信仰中重生。来自：https://www.91wii.com/thread-93199-1-1.htmljavascript:;赏󰄯 分享,动作类
458,2018-07-23,《RIVE》中文版（v1.12）,您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 1PZAZWR9EHR0ocvgpPj4NUw 密码: 5bfa1.12中文，这个中文需要在菜单选出来，比较难选，菜单花屏重叠。要多次按才按得准。不过这个游戏是飞行射击，没中文一样玩。解压密码：gz死神bleach来自：https://www.91wii.com/thread-93103-1-1.htmljavascript:;赏󰄯 分享,射击类
457,2018-07-20,《F1 2016》中文版（v1.08）,您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 16Zec-V5LB8QGVzw8cmeiig 密码: m8u2解压密码：gz死神bleach。系统设简体中文。英文名称：F1 2016游戏原名：F1 2016游戏语言：日文开发厂商：Codemasters发行厂商：Ubisoft发售日期：2016-09-08本作中生涯模式将大幅加强，玩家可以体验一共10个赛季的生涯，可以自建一个人物加入任何车队，通过挑战不同的目标来获得新的车队合同，当然，玩家也可以选择留在自己的车队里再创杯赛佳绩。在生涯模式中，玩家将在一个车队中心中接触车队工程师，经纪人以及进行各种分析研究，升级赛车等。另外，游戏还添加了可见的安全车，并且加入了今年的新赛道：阿塞拜疆的巴库。来自https://www.91wii.com/thread-92973-1-1.htmljavascript:;赏󰄯 分享,体育竞速
456,2018-07-19,《信长野望14创造 威力加强版》中文版,您已评论，请查看如下隐藏内容哦！如果喜欢本站，可以打赏来支持站长。链接: 1msId_lBLHF1OF-1-KGUA_A 密码: y7gu信长三作已圆满由我DUMP完。威力加强版，港中，也是很难掉价250+以上的一款，很经典。值得分享。密码：gz死神bleach《信长之野望14：创造 威力加强版》在原作的基础上将加入新型的军团制，同时新增500名武将，本次将以PC为主导平台，同时登录PS3，PS4平台，也是系列画质最好的一作。另外，加强版中还将追加4个信长以前时代等新剧本，“战国传”也有众多新增任务。《信长之野望14：创造》是《信长之野望》系列30周年纪念新作。游戏题材仍然是策略模拟类，以“新时代的创造”作为游戏概念主题，并以“真实性”(Reality)、“动态性”(Dynamic)与“戏剧性”(Dramatic)这三个要点作为游戏主打。来自：https://www.91wii.com/thread-92881-1-1.htmljavascript:;赏󰄯 分享,其他类型
